Titles,math.AG,math.NT
"Standard Bases in K[[t_1,...,t_m]][x_1,...,x_n]^s",1.0,0.0
An algorithm for lifting points in a tropical variety,1.0,0.0
Quantization of soliton systems and Langlands duality,1.0,0.0
Adelic resolution for homology sheaves,1.0,0.0
"On the Selmer groups of abelian varieties over function fields of
  characteristic p>0",1.0,1.0
Nilpotent bicone and characteristic submodule of a reductive Lie algebra,1.0,0.0
Log Fano varieties over function fields of curves,1.0,1.0
Wild ramification and the characteristic cycle of an l-adic sheaf,1.0,0.0
Augmented Teichmuller Spaces and Orbifolds,1.0,0.0
"A jeu de taquin theory for increasing tableaux, with applications to
  K-theoretic Schubert calculus",1.0,0.0
Rational points on certain elliptic surfaces,0.0,1.0
Computation of highly ramified coverings,1.0,0.0
"Second order polynomial Hamiltonian systems with ${\tilde
  W}(E_6^{(1)}),{\tilde W}(E_7^{(1)})$ and $W(E_8^{(1)})$-symmetry",1.0,0.0
"Moduli Spaces of PU(2)-Instantons on Minimal Class VII Surfaces with
  b_2=1",1.0,0.0
New results of intersection numbers on moduli spaces of curves,1.0,0.0
Deformation Theory (lecture notes),1.0,0.0
"Polarized Variation of Hodge Structures of Calabi-Yau Type and
  Characteristic Subvarieties Over Bounded Symmetric Domains",1.0,0.0
The incidence class and the hierarchy of orbits,1.0,0.0
Triple-Point Defective Regular Surfaces,1.0,0.0
Triple-Point Defective Ruled Surfaces,1.0,0.0
p^k-torsion of genus two curves over F_{p^m},1.0,1.0
"Extended Holomorphic Anomaly and Loop Amplitudes in Open Topological
  String",1.0,0.0
Dynamical Diophantine Approximation,0.0,1.0
Geometric Weil representation: local field case,1.0,0.0
Higher exponential maps and explicit reciprocity laws I,0.0,1.0
Abstract factorials,0.0,1.0
On partial polynomial interpolation,1.0,0.0
M_2-rank differences for partitions without repeated odd parts,0.0,1.0
Refined bound for sum-free sets in groups of prime order,0.0,1.0
"Coupled Painlev\'e systems with affine Weyl group symmetry of types
  $D_3^{(2)}$ and $D_5^{(2)}$",1.0,0.0
Quantization of symplectic vector spaces over finite fields,1.0,0.0
An Algebraic Analysis of Conchoids to Algebraic Curves,1.0,0.0
Exponents of 2-multiarrangements and multiplicity lattices,1.0,0.0
"On Cuspidal Representations of General Linear Groups over Discrete
  Valuation Rings",0.0,1.0
"Two Erdos problems on lacunary sequences: Chromatic number and
  Diophantine approximation",0.0,1.0
"Linearizing torsion classes in the Picard group of algebraic curves over
  finite fields",0.0,1.0
Parametrization of Pythagorean triples by a single triple of polynomials,0.0,1.0
Remarks on polynomial parametrization of sets of integer points,0.0,1.0
A class of series acceleration formulae for Catalan's constant,0.0,1.0
$\Lambda$-adic Kolyvagin systems,0.0,1.0
On the kernel of the norm in some unramified number fields extensions,0.0,1.0
"The derived category of quasi-coherent sheaves and axiomatic stable
  homotopy",1.0,0.0
"Classifying Compactly generated t-structures on the derived category of
  a Noetherian ring",1.0,0.0
Tropical Implicitization and Mixed Fiber Polytopes,1.0,0.0
Relations among modular points on elliptic curves,0.0,1.0
Affine Structures on a Ringed Space and Schemes,1.0,0.0
Hodge polynomials of the moduli spaces of rank 3 pairs,1.0,0.0
"Finite Schur filtration dimension for modules over an algebra with Schur
  filtration",1.0,0.0
Sur la p-dimension des corps,1.0,1.0
Hamiltonian S^1 manifolds are uniruled,1.0,0.0
Bethe Algebra of Homogeneous XXX Heisenberg Model Has Simple Spectrum,1.0,0.0
Standard vs. Reduced Genus-One Gromov-Witten Invariants,1.0,0.0
"Factorization of quadratic polynomials in the ring of formal power
  series over $\Z$",0.0,1.0
Log canonical thresholds of certain Fano hypersurfaces,1.0,0.0
"Symmetric Hamiltonian of the Garnier system and its degenerate systems
  in two variables",1.0,0.0
"Profinite complexes of curves, their automorphisms and anabelian
  properties of moduli stacks of curves",1.0,1.0
On sums of primes from Beatty sequences,0.0,1.0
The Local Langlands Conjecture for GSp(4),0.0,1.0
Riemann-Roch theorems and elliptic genus for virtually smooth Schemes,1.0,0.0
"Simultaneous approximation of a real number by all conjugates of an
  algebraic number",0.0,1.0
"Differential Equations on Complex Projective Hypersurfaces of Low
  Dimension",1.0,0.0
"Index reduction for Brauer classes via stable sheaves (with an appendix
  by Bhargav Bhatt)",1.0,0.0
A Stroll around The Jacobian Conjecture,1.0,0.0
Remark on the rank of elliptic curves,0.0,1.0
"Limits of PGL(3)-translates of plane curves, I",1.0,0.0
"Limits of PGL(3)-translates of plane curves, II",1.0,0.0
Compactified moduli of projective bundles,1.0,0.0
"On the derived category of 1-motives, I",1.0,0.0
On fundamental groups related to the Hirzebruch surface F_1,1.0,0.0
Extreme values of zeta prime rho,0.0,1.0
On existence of log minimal models,1.0,0.0
"A sufficient condition for a number to be the order of a nonsingular
  derivation of a Lie algebra",0.0,1.0
"Geometry of curves with exceptional secant planes: linear series along
  the general curve",1.0,0.0
"Kloosterman sums, elliptic curves, and irreducible polynomials with
  prescribed trace and norm",0.0,1.0
"Vector invariants of a class of pseudo-reflection groups and
  multisymmetric syzygies",1.0,0.0
"Canonical heights and the arithmetic complexity of morphisms on
  projective space",0.0,1.0
Nonarchimedean Green functions and dynamics on projective space,0.0,1.0
"Periodic harmonic functions on lattices and points count in positive
  characteristic",1.0,0.0
Prym varieties and applications,1.0,0.0
Galois theory of iterated endomorphisms,0.0,1.0
"Reducible Families of Curves with Ordinary Multiple Points on Surfaces
  in Projective Three-Space",1.0,0.0
"Some obstructed equisingular families of curves on surfaces in
  projective three-space",1.0,0.0
"Logarithmic comparison theorem versus Gauss-Manin system for isolated
  singularities",1.0,0.0
Prescribing the behaviour of geodesics in negative curvature,0.0,1.0
Singular Loci of Hibi toric varieties,1.0,0.0
Universal flattening of Frobenius,1.0,0.0
"On the constant in the Mertens product for arithmetic progressions. I.
  Identities",0.0,1.0
"A Simple Counterexample to Havil's ""Reformulation"" of the Riemann
  Hypothesis",0.0,1.0
Thue equations and torsion groups of elliptic curves,0.0,1.0
Tau-function of discrete isomonodromy transformations and probability,1.0,0.0
Configurations of Extremal Even Unimodular Lattices,0.0,1.0
Stark units and main conjectures for totally real fields,0.0,1.0
Compact symmetric solutions to the postage stamp problem,0.0,1.0
"Stability of Hodge bundles and a numerical characterization of Shimura
  varieties",1.0,0.0
"An explicit stationary phase formula for the local formal
  Fourier-Laplace transform",1.0,0.0
Betti numbers of Springer fibers in type A,1.0,0.0
Comparing powers and symbolic powers of ideals,1.0,0.0
Point counting on reductions of CM elliptic curves,0.0,1.0
Invariant deformations of orbit closures in $\mathfrak{sl}_n$,1.0,0.0
Minimal $\gamma$--sheaves,1.0,0.0
Optimal curves of low genus over finite fields,1.0,1.0
Theory of the Siegel Modular Variety,1.0,1.0
The age grading and the Chen-Ruan cup product,1.0,0.0
"The distribution of free path lengths in the periodic Lorentz gas and
  related lattice point problems",0.0,1.0
"Pure motives, mixed motives and extensions of motives associated to
  singular surfaces",1.0,0.0
"On a Teichmueller functor between the categories of complex tori and the
  Effros-Shen algebras",1.0,0.0
"Perverse coherent sheaves and the geometry of special pieces in the
  unipotent variety",1.0,0.0
Another generalization of Mason's ABC-theorem,0.0,1.0
"Note on a paper ""An Extension of a Theorem of Euler"" by Hirata-Kohno et
  al",0.0,1.0
Logarithmic limit sets of real semi-algebraic sets,1.0,0.0
"A vanishing theorem for sheaves of small differential operators in
  positive characteristic",1.0,0.0
D-affinity and Frobenius morphism on quadrics,1.0,0.0
Toroidal embeddings and polyhedral divisors,1.0,0.0
Hyperbolic geometry and moduli of real cubic surfaces,1.0,0.0
"A few remarks concerning the geometry of the moduli spaces of semistable
  sheaves supported on plane curves of multiplicity four",1.0,0.0
Permutation binomials over finite fields,0.0,1.0
On some permutation polynomials over F_q of the form x^r*h(x^((q-1)/d))),0.0,1.0
Some families of permutation polynomials over finite fields,0.0,1.0
"l-Adic representations associated to modular forms over imaginary
  quadratic fields",0.0,1.0
Tangential projections and secant defective varieties,1.0,0.0
Standard Relations of Multiple Polylogarithm Values at Roots of Unity,0.0,1.0
Variation of Periods Modulo p in Arithmetic Dynamics,0.0,1.0
Polynomials with a common composite,1.0,1.0
Secant dimensions of low-dimensional homogeneous varieties,1.0,0.0
"Good Reductions of Shimura Varieties of Hodge Type in Arbitrary
  Unramified Mixed Characteristic, Part I",1.0,1.0
Fields of invariants of finite linear groups,1.0,0.0
On the divisor function and the Riemann zeta-function in short intervals,0.0,1.0
On Excess of the Odious Primes,0.0,1.0
Harmonic analysis on local fields and adelic spaces I,1.0,1.0
Equations for Chow and Hilbert Quotients,1.0,0.0
On the geometry of the moduli space of spin curves,1.0,0.0
Polynomials with PSL(2) monodromy,1.0,1.0
A new family of exceptional polynomials in characteristic two,1.0,1.0
A geometric model for Hochschild homology of Soergel bimodules,1.0,0.0
"The Mukai pairing, I: a categorical approach",1.0,0.0
Monodromy of the p-rank strata of the moduli space of curves,1.0,1.0
"Some examples of vector bundles in the base locus of the generalized
  theta divisor",1.0,0.0
Curve counting via stable pairs in the derived category,1.0,0.0
"A semiregularity map annihilating obstructions to deforming holomorphic
  maps",1.0,0.0
Primitive contractions of Calabi-Yau threefolds II,1.0,0.0
Primitive Divisors in Arithmetic Dynamics,0.0,1.0
"Logarithmic geometry, minimal free resolutions and toric algebraic
  stacks",1.0,0.0
Constructing simply laced Lie algebras from extremal elements,1.0,0.0
The Integral (orbifold) Chow Ring of Toric Deligne-Mumford Stacks,1.0,0.0
"On primes in arithmetic progression having a prescribed primitive root.
  II",0.0,1.0
"Mixed Hodge complexes and L^2-cohomology for local systems on ball
  quotients",1.0,1.0
Separators of points in a multiprojective space,1.0,0.0
"Stable Tameness of Two-Dimensional Polynomial Automorphisms Over a
  Regular Ring",1.0,0.0
"Equivariant orbifold structures on the projective line and integrable
  hierarchies",1.0,0.0
"Points on Shimura varieties over finite fields: the conjecture of
  Langlands and Rapoport",1.0,1.0
"An exotic shuffle relation of $\zeta(\{2\}^m)$ and $\zeta(\{3,1\}^n)$",0.0,1.0
"On the statistics of the minimal solution of a linear Diophantine
  equation and uniform distribution of the real part of orbits in hyperbolic
  spaces",0.0,1.0
Kouchnirenko type formulas for local invariants of plane analytic curves,1.0,0.0
When almost all sets are difference dominated,0.0,1.0
Sums of products of congruence classes and of arithmetic progressions,0.0,1.0
Hodge metrics and the curvature of higher direct images,1.0,0.0
On singular Calogero-Moser spaces,1.0,0.0
"p-adic elliptic polylogarithm, p-adic Eisenstein series and Katz measure",1.0,1.0
Parshin Residues via Coboundary Operators,1.0,0.0
On Landau--Ginzburg models for Fano varieties,1.0,0.0
Some tensor products,1.0,1.0
Cohomology theories for homotopy algebras and noncommutative geometry,1.0,0.0
Stable modification of relative curves,1.0,0.0
"Deformations of Lie algebras of vector fields arising from families of
  schemes",1.0,0.0
A deterministic version of Pollard's p-1 algorithm,0.0,1.0
Effective Iitaka fibrations,1.0,0.0
Cohomological characterizations of projective spaces and hyperquadrics,1.0,0.0
"Bounding the number of stable homotopy types of a parametrized family of
  semi-algebraic sets defined by quadratic inequalities",1.0,0.0
"Classification of free actions on complete intersections of four
  quadrics",1.0,0.0
"La $\mathrm{Z}_l$-cohomologie du mod\`ele de Deligne-Carayol est sans
  torsion",1.0,1.0
The Analytic Classification of Plane Branches,1.0,0.0
Analytic classification of plane branches up to multiplicity 4,1.0,0.0
Integration over complex manifolds via Hochschild homology,1.0,0.0
A boundedness result for toric log Del Pezzo surfaces,1.0,0.0
On admissible rank one local systems,1.0,0.0
"q-Terms, singularities and the extended Bloch group",1.0,1.0
"Farey Statistics in Time n^{2/3} and Counting Primitive Lattice Points
  in Polygons",0.0,1.0
Shintani Cocycles on $\GL_{n}$,0.0,1.0
A simply connected surface of general type with p_g=0 and K^2=3,1.0,0.0
Algebraic Degeneracy of Non-Archimedean Analytic Maps,1.0,1.0
On the Geometry of the Moduli Space of Real Binary Octics,1.0,0.0
The Rank of the Cartier operator on cyclic covers of the projective line,1.0,0.0
Recursion formulae of higher Weil-Petersson volumes,1.0,0.0
Formal punctured ribbons and two-dimensional local fields,1.0,0.0
"Distribution of periodic torus orbits and Duke's theorem for cubic
  fields",0.0,1.0
On the enumeration of complex plane curves with two singular points,1.0,0.0
Smooth toric DM stacks,1.0,0.0
Calibrated associative and Cayley embeddings,1.0,0.0
"The theory of the exponential differential equations of semiabelian
  varieties",1.0,0.0
"On perfect, amicable, and sociable chains",0.0,1.0
On similarity classes of well-rounded sublattices of $\mathbb Z^2$,0.0,1.0
On the mean square of the divisor function in short intervals,0.0,1.0
"Vector bundles on degenerations of elliptic curves and Yang-Baxter
  equations",1.0,0.0
Tropical bases by regular projections,1.0,0.0
Rational singularities associated to pairs,1.0,0.0
Strongly pseudoconvex domains as subvarieties of complex manifolds,1.0,0.0
Curves of given $p$-rank with trivial automorphism group,0.0,1.0
Tropical fans and the moduli spaces of tropical curves,1.0,0.0
Small value estimates for the additive group,0.0,1.0
"Tame Functions with strongly isolated singularities at infinity: a tame
  version of a Parusinski's Theorem",1.0,0.0
The Multidimensional Cube Recurrence,1.0,0.0
The Moduli Space of Polynomial Maps and Their Fixed-Point Multipliers,1.0,0.0
"Comparing tamed and compatible symplectic cones and cohomological
  properties of almost complex manifolds",1.0,0.0
The Romanov theorem revised,0.0,1.0
"On the sum of the series formed from the prime numbers where the prime
  numbers of the form $4n-1$ have a positive sign and those of the form $4n+1$
  a negative sign",0.0,1.0
The holomorphic anomaly for open string moduli,1.0,0.0
Genericity of supercuspidal representations of p-adic Sp(4),0.0,1.0
Convergence of random zeros on complex manifolds,1.0,0.0
Approximations to Euler's constant,0.0,1.0
"The reciprocity law for the twisted second moment of Dirichlet
  L-functions",0.0,1.0
Rational Solutions of the Noumi and Yamada System of type $A_5^{(1)}$,1.0,0.0
Stability conditions on generic complex tori,1.0,0.0
The u-invariant of the function fields of p-adic curves,0.0,1.0
A Generic Approach to Searching for Jacobians,1.0,1.0
"On the topology of surface singularities {z^n=f(x,y)}, for f irreducible",1.0,0.0
Strong wavefront lemma and counting lattice points in sectors,0.0,1.0
A p-adic analogue of a formula of Ramanujan,0.0,1.0
Existence and properties of geometric quotients,1.0,0.0
On the symmetric subscheme of Hilbert scheme of points,1.0,0.0
Diophantine subsets of function fields of curves,1.0,1.0
"Bounding the Betti numbers and computing the Euler-Poincar\'e
  characteristic of semi-algebraic sets defined by partly quadratic systems of
  polynomials",1.0,0.0
Studies on the Chazy equations,1.0,0.0
"On certain arithmetic functions involving exponential divisors, II",0.0,1.0
The family of analytic Poisson brackets for the Camassa--Holm hierarchy,1.0,0.0
Special correspondences and Chow traces of Landweber-Novikov operations,1.0,0.0
Tropical Lines on Cubic Surfaces,1.0,0.0
PAC Fields over Finitely Generated Fields,0.0,1.0
The Lie algebra perturbation lemma,1.0,0.0
On ground fields of arithmetic hyperbolic reflection groups,1.0,0.0
The group of automorphisms of a real rational surface is n-transitive,1.0,0.0
The Drinfel'd Double and Twisting in Stringy Orbifold Theory,1.0,0.0
"Moments of the critical values of families of elliptic curves, with
  applications",0.0,1.0
"Unipotent flows on products of $SL(2,K)/\Gamma$'s",0.0,1.0
"Rational maps between moduli spaces of curves and Gieseker-Petri
  divisors",1.0,0.0
Uniqueness of the 2-universality Criterion,0.0,1.0
"The computation of the classes of some tori in the Grothendieck ring of
  varieties",1.0,0.0
Chern classes of Deligne-Mumford stacks and their coarse moduli spaces,1.0,0.0
Theta Series Associated with the Weil-Schroedinger Representation,0.0,1.0
New q-Euler numbers and polynomials associated with p-adic q-integrals,0.0,1.0
Modular intersection cohomology complexes on flag varieties,1.0,0.0
Oort groups and lifting problems,1.0,0.0
"Effective base point free theorem for log canonical pairs--Koll\'ar type
  theorem",1.0,0.0
"Effective base point free theorem for log canonical pairs
  II--Angehrn--Siu type theorems--",1.0,0.0
Lie-algebra Dolbeault cohomology and small deformations of nilmanifolds,1.0,0.0
"The Fr\""olicher spectral sequence can be arbitrarily non degenerate",1.0,0.0
Explicit Connections with SU(2)-Monodromy,1.0,0.0
Computation of weight lattices of G-varieties,1.0,0.0
"Which Partial Sums of the Taylor Series for $e$ are Convergents to $e$?
  (and a Link to the Primes 2, 5, 13, 37, 463), II",0.0,1.0
Diophantine exponents for mildly restricted approximation,0.0,1.0
"Two algorithms for evaluation of the Newman digit sum, and a new proof
  of Coquet's theorem",0.0,1.0
Twisted Symmetric Group Actions,1.0,0.0
On the integrality of the Taylor coefficients of mirror maps,1.0,1.0
Markoff Equation and Nilpotent Matrices,0.0,1.0
On two notions of complexity of algebraic numbers,0.0,1.0
Reciprocal cyclotomic polynomials,0.0,1.0
"A devil's staircase from rotations and irrationality measures for
  Liouville numbers",0.0,1.0
On some new congruences for binomial coefficients,0.0,1.0
Apery limits and special values of L-functions,0.0,1.0
"Factorial ratios, hypergeometric series, and a family of step functions",1.0,1.0
The $K$-theory of toric varieties,1.0,0.0
A probabilistic proof of Wallis's formula for pi,0.0,1.0
Irrationality measure and lower bounds for pi(x),0.0,1.0
Mirror Symmetry via Logarithmic Degeneration Data II,1.0,0.0
Albert algebras over curves of genus zero and one,1.0,0.0
The twisted fourth moment of the Riemann zeta function,0.0,1.0
Optimal test-configurations for toric varieties,1.0,0.0
Pure Anderson Motives and Abelian \tau-Sheaves,1.0,1.0
Pure Anderson Motives over Finite Fields,1.0,1.0
On the p-adic Leopoldt Transform of a power series,0.0,1.0
Regulator constants and the parity conjecture,0.0,1.0
A Generalization of a Result of Hardy and Littlewood,0.0,1.0
The Groebner basis of the ideal of vanishing polynomials,1.0,0.0
Chern numbers and the geometry of partial flag manifolds,1.0,0.0
Residue Classes Having Tardy Totients,0.0,1.0
Normes invariantes et existence de filtrations admissibles,0.0,1.0
Positivity of Chern Classes for Reflexive Sheaves on P^N,1.0,0.0
"Algorithmic and topological aspects of semi-algebraic sets defined by
  quadratic polynomial",1.0,0.0
Hyperbolicity of general deformations: proofs,1.0,0.0
On period spaces for p-divisible groups,1.0,1.0
On Brill-Noether loci over Quot schemes and a Torelli theorem,1.0,0.0
The quantitative behaviour of polynomial orbits on nilmanifolds,0.0,1.0
A reciprocity map and the two variable p-adic L-function,0.0,1.0
Noncommutative del Pezzo surfaces and Calabi-Yau algebras,1.0,0.0
"On the Correlations, Selberg Integral and Symmetry of Sieve Functions in
  Short Intervals",0.0,1.0
"The Chow rings of the algebraic groups E_6, E_7, and E_8",1.0,0.0
First Steps in Tropical Intersection Theory,1.0,0.0
"Chen's double sieve, Goldbach's conjecture and the twin prime problem, 2",0.0,1.0
The j-invariant of a plane tropical cubic,1.0,0.0
On the mathematics and physics of high genus invariants of [C^3/Z_3],1.0,0.0
New Digit Results and Several Problems,0.0,1.0
The 3-fold vertex via stable pairs,1.0,0.0
S-integral preperiodic points for dynamical systems over number fields,0.0,1.0
"Intersecting Psi-classes on tropical M_{0,n}",1.0,0.0
Infinite products with strongly $B$-multiplicative exponents,0.0,1.0
Stability of foliations induced by rational maps,1.0,0.0
On the relation of Voevodsky's algebraic cobordism to Quillen's K-theory,1.0,0.0
"An Alternative Form of the Functional Equation for Riemann's Zeta
  Function",0.0,1.0
"Which 3-manifold groups are K\""ahler groups?",1.0,0.0
"On the maximal number of three-term arithmetic progressions in subsets
  of Z/pZ",0.0,1.0
Rank of divisors on tropical curves,1.0,0.0
On equivariant mirror symmetry for local P^2,1.0,0.0
A canonical bundle formular of projective Lagrangian fibrations,1.0,0.0
Two Digit Theorems,0.0,1.0
On ground fields of arithmetic hyperbolic reflection groups. II,1.0,0.0
Higher order group cohomology and the Eichler-Shimura map,0.0,1.0
Uniqueness of real closure * of Baer regular rings,1.0,0.0
Zariski $k$-plets via dessins d'enfants,1.0,0.0
Reduced zeta functions of Lie algebras,1.0,0.0
Inhomogeneous Diophantine approximation of some Hurwitzian numbers,0.0,1.0
A minimal set of generators for the ring of multisymmetric functions,1.0,0.0
Appendix to 'Roth's theorem on progressions revisited' by J Bourgain,0.0,1.0
Difference sets and the primes,0.0,1.0
Remarks on the symmetric powers of cusp forms on GL(2),0.0,1.0
"The divided cell algorithm and the inhomogeneous Lagrange and Markoff
  spectra",0.0,1.0
"On Q-conic bundles, II",1.0,0.0
Towards quantum cohomology of real varieties,1.0,0.0
Characterizing Generic Global Rigidity,1.0,0.0
"A characterization of nef and good divisors by asymptotic multiplier
  ideals",1.0,0.0
Extensions for supersingular representations of $GL_2(Q_p)$,0.0,1.0
The Newton polygon of a rational plane curve,1.0,0.0
"Apostol-Bernoulli functions, derivative polynomials and Eulerian
  polynomials",0.0,1.0
"The values of an Euler sum at negative integers and relation to a
  convolution of Bernoulli numbers",0.0,1.0
On isogenous principally polarized abelian surfaces,1.0,0.0
Elliptic nets and elliptic curves,0.0,1.0
Triangulated categories of Gorenstein cyclic quotient singularities,1.0,0.0
Hirzebruch-Riemann-Roch theorem for DG algebras,1.0,0.0
Reduction of structure for torsors over semilocal rings,1.0,0.0
The sh-Lie algebra perturbation Lemma,1.0,0.0
The yoga of the Cassels-Tate pairing,0.0,1.0
On ground fields of arithmetic hyperbolic reflection groups. III,1.0,0.0
Hilbert Functions of Filtered Modules,1.0,0.0
The Nicolas and Robin inequalities with sums of two squares,0.0,1.0
Singularities of Brill-Noether loci for vector bundles on a curve,1.0,0.0
Submersions and effective descent of etale morphisms,1.0,0.0
Chern class identities from tadpole matching in type IIB and F-theory,1.0,0.0
A Freiman-type theorem for locally compact abelian groups,0.0,1.0
Origins and breadth of the theory of higher homotopies,1.0,0.0
Catalog of dessins d'enfants with \le 4 edges,1.0,0.0
"Kawamata-Viehweg Vanishing on Rational Surfaces in Positive
  Characteristic",1.0,0.0
Schubert Polynomials for the affine Grassmannian of the symplectic group,1.0,0.0
Tight closure does not commute with localization,1.0,0.0
"Quantum Barnes function as the partition function of the resolved
  conifold",1.0,0.0
Prime and zero distributions for meromorphic Euler products,0.0,1.0
"Approximation of definable sets by compact families, and upper bounds on
  homotopy and homology",1.0,0.0
Schubert polynomials and classes of Hessenberg varieties,1.0,0.0
"Knot homology via derived categories of coherent sheaves II, sl(m) case",1.0,0.0
Smooth rationally connected threefolds contain all smooth curves,1.0,0.0
Riemann surfaces and AF-algebras,1.0,0.0
Differential operators and BV structures in noncommutative geometry,1.0,0.0
Comlexity of prime-dimensional sequences over a finite field,0.0,1.0
Unimodular lattices in dimensions 14 and 15 over the Eisenstein integers,0.0,1.0
On the localization theorem for F-pure rings,1.0,0.0
Tamagawa defect of Euler systems,0.0,1.0
A note on a curious formula for Euler's constant,0.0,1.0
